Total Time step,,
299,,
time,F3,F5
77.3492,3163090,-983487000
77.736,6537820,-1016560000
78.1227,9627620,-1005180000
78.5095,12298300,-949838000
78.8962,14433700,-852940000
79.283,15940700,-718737000
79.6697,16753200,-553122000
80.0565,16834500,-363352000
80.4432,16179700,-157728000
80.83,14816200,54761800
81.2167,12802800,264829000
81.6035,10227500,463297000
81.9902,7203340,641504000
82.3769,3863120,791685000
82.7637,353679,907305000
83.1504,-3170650,983326000
83.5372,-6554850,1016420000
83.9239,-9650210,1005110000
84.3107,-12321200,949852000
84.6974,-14451600,853047000
85.0842,-15949500,718915000
85.4709,-16750700,553326000
85.8577,-16821300,363529000
86.2444,-16158800,157832000
86.6312,-14792500,-54762400
87.0179,-12781700,-264941000
87.4046,-10213900,-463499000
87.7914,-7200350,-641748000
88.1781,-3871520,-791908000
88.5649,-371611,-907443000
88.9516,3147300,-983337000
89.3384,6531530,-1016300000
89.7251,9632430,-1004880000
90.1119,12313100,-949585000
90.4986,14455100,-852804000
90.8854,15963700,-718758000
91.2721,16772400,-553296000
91.6589,16845500,-363639000
92.0456,16180000,-158058000
92.4323,14805700,54474900
92.8191,12784000,264667000
93.2058,10204500,463311000
93.5926,7181380,641698000
93.9793,3847320,792011000
94.3661,347831,907671000
94.7528,-3165070,983629000
95.1396,-6539100,1016580000
95.5263,-9628010,1005080000
95.9131,-12297700,949658000
96.2998,-14432300,852731000
96.6866,-15938700,718555000
97.0733,-16750900,553011000
97.4601,-16832600,363342000
97.8468,-16178800,157825000
98.2335,-14816600,-54583100
98.6203,-12804400,-264625000
99.007,-10229700,-463132000
99.3938,-7205430,-641428000
99.7805,-3864630,-791715000
100.1673,-354405,-907419000
100.554,3170740,-983481000
100.9408,6555750,-1016570000
101.3275,9651880,-1005220000
101.7143,12323400,-949912000
102.101,14453700,-853039000
102.4878,15950900,-718841000
102.8745,16750900,-553202000
103.2612,16820400,-363391000
103.648,16157300,-157719000
104.0347,14790700,54817800
