0.111,6922490,892321000,-818046000,68966500000
0.161,9382610,730901000,-629531000,50227400000
0.214,11493900,614312000,-488679000,40837500000
0.271,13197200,526887000,-380058000,35552400000
0.331,14460400,460407000,-295424000,32303800000
0.395,15269500,409881000,-229576000,30102600000
0.462,15624100,372013000,-178972000,28418300000
0.532,15536900,344530000,-141082000,26947600000
0.606,15037400,325769000,-114043000,25516400000
0.683,14177100,314377000,-96378300,24032200000
0.764,13032300,309091000,-86779500,22460100000
0.848,11699500,308597000,-83949900,20805700000
0.935,10284100,311508000,-86553000,19101500000
1.026,8884140,316446000,-93243000,17394100000
1.12,7576720,322180000,-102756000,15732000000
1.217,6410230,327757000,-114000000,14156600000
1.318,5405420,332542000,-126112000,12697500000
1.422,4561630,336212000,-138452000,11371200000
1.53,3864530,338690000,-150584000,10182300000
1.641,3293590,340052000,-162228000,9126680000
1.755,2826800,340457000,-173227000,8194400000
1.873,2444050,340099000,-183498000,7373220000
1.994,2128060,339162000,-193018000,6649540000
2.119,1864810,337811000,-201794000,6010370000
2.246,1643480,336182000,-209854000,5444240000
2.378,1455540,334379000,-217242000,4940770000
2.512,1294480,332482000,-224003000,4491320000
2.65,1155350,330553000,-230186000,4088510000
2.792,1034330,328635000,-235835000,3726450000
2.936,928445,326761000,-240996000,3400140000
3.084,835349,324948000,-245711000,3105460000
3.236,753160,323217000,-250015000,2838950000
3.391,680369,321575000,-253944000,2597770000
3.549,615759,320031000,-257527000,2379600000
3.711,558323,318587000,-260795000,2182350000
3.876,507138,317243000,-263774000,2003730000
4.044,461362,315994000,-266493000,1841840000
4.216,420320,314828000,-268984000,1694700000
4.391,383306,313734000,-271274000,1560180000
4.57,349647,312699000,-273391000,1436040000
4.752,318857,311703000,-275369000,1320620000
4.937,290426,310739000,-277223000,1212070000
5.126,264004,309796000,-278973000,1109570000
5.318,239528,308884000,-280619000,1012990000
5.513,216837,308006000,-282164000,922384000
5.712,195860,307171000,-283605000,838160000
